Iteration,Set,Data,Exec time,Tree height,Tree type,Avg exec time
0,1,1,0.0,26,bst,0.000000
0,1,2,0.0,26,bst,0.001547
0,1,3,0.013921,26,bst,0.008655
0,2,1,0.0,26,bst,0.000000
0,2,2,0.000525,26,bst,0.000277
0,2,3,0.005313,26,bst,0.006281
1,1,1,0.0,26,bst,0.000000
1,1,2,0.003825,26,bst,0.001547
1,1,3,0.004205,26,bst,0.008655
1,2,1,0.0,26,bst,0.000000
1,2,2,0.000307,26,bst,0.000277
1,2,3,0.008044,26,bst,0.006281
2,1,1,0.0,26,bst,0.000000
2,1,2,0.000817,26,bst,0.001547
2,1,3,0.007839,26,bst,0.008655
2,2,1,0.0,26,bst,0.000000
2,2,2,0.0,26,bst,0.000277
2,2,3,0.005486,26,bst,0.006281
